suje,2,3,4,5,6,7,8,9,10,DISTR
s1,25,45,75,72.5,77.5,85,92.5,80,90,1
s2,47.5,65,75,80,82.5,87.5,87.5,82.5,80,1
s3,35,72.5,90,90,85,100,95,92.5,97.5,1
s4,40,65,75,75,85,97.5,95,82.5,95,1
s5,40,60,77.5,85,90,95,90,100,95,1
s6,35,80,85,87.5,87.5,92.5,95,97.5,100,1
s7,25,62.5,77.5,90,87.5,90,90,87.5,95,1
s8,20,60,82.5,92.5,100,90,95,97.5,90,1
s9,15,25,62.5,52.5,52.5,62.5,77.5,75,85,1
s10,50,55,82.5,90,87.5,87.5,90,82.5,82.5,1
s11,47.5,82.5,92.5,97.5,97.5,90,90,95,92.5,1
s12,35,57.5,80,77.5,85,92.5,90,80,82.5,1
s13,62.5,65,80,82.5,85,87.5,90,75,75,1
s14,42.5,52.5,65,77.5,77.5,92.5,90,82.5,85,1
s15,7.5,42.5,60,65,70,85,75,92.5,87.5,1
s16,17.5,42.5,52.5,75,82.5,77.5,87.5,87.5,85,1
s1,22.5,17.5,52.5,60,62.5,52.5,65,80,72.5,2
s2,25,25,55,60,62.5,60,65,70,75,2
s3,42.5,50,50,67.5,65,85,87.5,72.5,70,2
s4,17.5,40,42.5,52.5,55,62.5,67.5,65,80,2
s5,12.5,42.5,55,62.5,60,75,77.5,90,75,2
s6,12.5,52.5,60,75,75,72.5,85,90,90,2
s7,20,32.5,60,67.5,82.5,70,80,77.5,75,2
s8,22.5,25,55,70,70,67.5,72.5,70,80,2
s9,10,32.5,30,25,42.5,70,50,67.5,67.5,2
s10,22.5,52.5,55,62.5,77.5,70,62.5,67.5,80,2
s11,25,52.5,75,62.5,67.5,75,82.5,87.5,82.5,2
s12,15,25,72.5,52.5,70,75,82.5,67.5,65,2
s13,32.5,52.5,42.5,67.5,90,75,80,62.5,67.5,2
s14,40,42.5,52.5,62.5,82.5,87.5,72.5,75,67.5,2
s15,2.5,7.5,20,37.5,45,30,55,55,50,2
s16,5,32.5,42.5,50,65,52.5,57.5,70,67.5,2
